Date,Time,open,high,low,close,volume
2020-05-13,07:55:30Z,2855.75,2856.25,2855.75,2856.0,-1
2020-05-13,07:55:35Z,2856.0,2856.5,2855.75,2856.25,-1
2020-05-13,07:55:40Z,2856.25,2856.75,2856.25,2856.5,-1
2020-05-13,07:55:45Z,2856.0,2856.5,2855.75,2856.25,-1
2020-05-13,07:55:50Z,2856.0,2856.5,2855.75,2856.25,-1
2020-05-13,07:55:55Z,2855.75,2856.25,2855.75,2856.0,-1
2020-05-13,07:56:00Z,2855.5,2856.0,2855.25,2855.75,-1
2020-05-13,07:56:05Z,2855.5,2856.0,2855.25,2855.75,-1
2020-05-13,07:56:10Z,2855.75,2856.25,2855.5,2856.0,-1
2020-05-13,07:56:15Z,2855.75,2856.25,2855.75,2856.0,-1
2020-05-13,07:56:20Z,2855.5,2856.25,2855.25,2855.75,-1
2020-05-13,07:56:25Z,2855.5,2856.0,2855.5,2855.75,-1
2020-05-13,07:56:30Z,2855.5,2856.0,2855.5,2855.75,-1
2020-05-13,07:56:35Z,2855.5,2856.0,2855.5,2855.75,-1
2020-05-13,07:56:40Z,2855.25,2855.75,2855.0,2855.5,-1
2020-05-13,07:56:45Z,2854.75,2855.25,2854.5,2855.0,-1
2020-05-13,07:56:50Z,2854.25,2855.0,2854.0,2854.5,-1
2020-05-13,07:56:55Z,2854.25,2854.75,2854.25,2854.75,-1
2020-05-13,07:57:00Z,2854.5,2854.75,2854.25,2854.75,-1
2020-05-13,07:57:05Z,2854.5,2855.0,2854.25,2855.0,-1
2020-05-13,07:57:10Z,2854.75,2855.0,2854.5,2855.0,-1
2020-05-13,07:57:15Z,2854.75,2855.25,2854.5,2855.0,-1
2020-05-13,07:57:20Z,2854.5,2854.75,2854.5,2854.75,-1
2020-05-13,07:57:25Z,2854.5,2854.75,2854.5,2854.75,-1
2020-05-13,07:57:30Z,2854.5,2854.75,2854.25,2854.75,-1
2020-05-13,07:57:35Z,2854.0,2854.5,2854.0,2854.25,-1
2020-05-13,07:57:40Z,2854.25,2854.75,2853.75,2854.5,-1
2020-05-13,07:57:45Z,2854.5,2855.0,2854.25,2854.75,-1
2020-05-13,07:57:50Z,2854.5,2855.25,2854.5,2855.0,-1
2020-05-13,07:57:55Z,2854.5,2855.0,2854.5,2855.0,-1
2020-05-13,07:58:00Z,2854.75,2855.25,2854.5,2855.0,-1
2020-05-13,07:58:05Z,2854.75,2855.25,2854.25,2855.0,-1
2020-05-13,07:58:10Z,2854.25,2854.5,2854.0,2854.5,-1
2020-05-13,07:58:15Z,2854.0,2854.5,2854.0,2854.5,-1
2020-05-13,07:58:20Z,2854.0,2854.25,2853.75,2854.25,-1
2020-05-13,07:58:25Z,2853.75,2854.25,2853.75,2854.25,-1
2020-05-13,07:58:30Z,2853.5,2854.0,2853.25,2853.75,-1
2020-05-13,07:58:35Z,2853.25,2854.0,2853.25,2853.75,-1
2020-05-13,07:58:40Z,2853.25,2854.0,2853.0,2853.5,-1
2020-05-13,07:58:45Z,2853.75,2854.25,2853.5,2854.0,-1
2020-05-13,07:58:50Z,2853.5,2854.25,2853.5,2854.0,-1
2020-05-13,07:58:55Z,2853.5,2854.25,2853.5,2854.0,-1
2020-05-13,07:59:00Z,2853.5,2854.0,2853.5,2854.0,-1
2020-05-13,07:59:05Z,2853.75,2854.25,2853.5,2854.0,-1
2020-05-13,07:59:10Z,2854.0,2854.25,2853.75,2854.25,-1
2020-05-13,07:59:15Z,2853.75,2854.0,2853.5,2854.0,-1
2020-05-13,07:59:20Z,2853.75,2854.0,2853.5,2854.0,-1
2020-05-13,07:59:25Z,2853.75,2854.0,2853.5,2854.0,-1
2020-05-13,07:59:30Z,2853.25,2854.0,2853.0,2853.75,-1
2020-05-13,07:59:35Z,2853.5,2854.0,2853.5,2854.0,-1
2020-05-13,07:59:40Z,2853.75,2854.25,2853.75,2854.0,-1
2020-05-13,07:59:45Z,2853.25,2854.0,2852.75,2853.5,-1
2020-05-13,07:59:50Z,2853.25,2853.5,2853.0,2853.5,-1
2020-05-13,07:59:55Z,2853.25,2853.5,2852.25,2853.5,-1
2020-05-13,08:00:00Z,2852.75,2853.25,2852.5,2853.0,-1
2020-05-13,08:00:05Z,2852.75,2853.25,2852.75,2853.25,-1
2020-05-13,08:00:10Z,2853.0,2853.5,2852.75,2853.25,-1
2020-05-13,08:00:15Z,2853.25,2854.0,2853.0,2853.75,-1
2020-05-13,08:00:20Z,2853.0,2854.0,2852.75,2853.25,-1
2020-05-13,08:00:25Z,2853.0,2853.25,2852.75,2853.25,-1
2020-05-13,08:00:30Z,2853.25,2853.5,2852.75,2853.5,-1
2020-05-13,08:00:35Z,2852.75,2853.5,2852.5,2853.0,-1
2020-05-13,08:00:40Z,2852.25,2852.75,2852.25,2852.75,-1
2020-05-13,08:00:45Z,2852.5,2852.75,2852.25,2852.75,-1
2020-05-13,08:00:50Z,2852.5,2852.75,2852.25,2852.75,-1
2020-05-13,08:00:55Z,2852.5,2853.0,2852.25,2852.75,-1
2020-05-13,08:01:00Z,2852.5,2853.0,2852.25,2852.75,-1
2020-05-13,08:01:05Z,2852.0,2852.5,2852.0,2852.25,-1
2020-05-13,08:01:10Z,2851.75,2852.25,2851.25,2852.0,-1
2020-05-13,08:01:15Z,2851.5,2852.0,2851.5,2851.75,-1
2020-05-13,08:01:20Z,2851.25,2851.75,2851.0,2851.5,-1
2020-05-13,08:01:25Z,2851.0,2851.5,2850.75,2851.5,-1
2020-05-13,08:01:30Z,2850.75,2851.5,2850.75,2851.25,-1
2020-05-13,08:01:35Z,2850.75,2851.25,2850.75,2851.0,-1
2020-05-13,08:01:40Z,2851.0,2851.25,2850.75,2851.25,-1
2020-05-13,08:01:45Z,2851.0,2851.25,2850.75,2851.25,-1
2020-05-13,08:01:50Z,2851.0,2851.5,2851.0,2851.25,-1
2020-05-13,08:01:55Z,2851.25,2851.75,2851.0,2851.5,-1
2020-05-13,08:02:00Z,2851.25,2851.75,2850.75,2851.5,-1
2020-05-13,08:02:05Z,2850.75,2851.25,2850.75,2851.0,-1
2020-05-13,08:02:10Z,2851.0,2851.5,2850.75,2851.25,-1
